instance_id,original_prompt,true_answer,actual_predicted_answer,concept,true_entities,predicted_entities,macro_weighted_precision,macro_weighted_recall,macro_weighted_f1
 , , , , , , ,0.983,0.972,0.977
0,"Would you be able to provide links to the SNOMEDCT ontology for these entities: tortilla chips, quinoa, oat, pork, curry powder, beef, icing, tofu, artichoke ?","Definitely, the entities are linked in this fashion:  tortilla chips - http://purl.bioontology.org/ontology/SNOMEDCT/227592002;http://purl.bioontology.org/ontology/SNOMEDCT/226587006;http://purl.bioontology.org/ontology/SNOMEDCT/227282006, quinoa - http://purl.bioontology.org/ontology/SNOMEDCT/227515004, oat - http://purl.bioontology.org/ontology/SNOMEDCT/418504009, pork - http://purl.bioontology.org/ontology/SNOMEDCT/226934003, curry powder - http://purl.bioontology.org/ontology/SNOMEDCT/227395004, beef - http://purl.bioontology.org/ontology/SNOMEDCT/226916002, icing - http://purl.bioontology.org/ontology/SNOMEDCT/229871004, tofu - http://purl.bioontology.org/ontology/SNOMEDCT/227365007, artichoke - http://purl.bioontology.org/ontology/SNOMEDCT/227215000.","Certainly, the entities are associated accordingly: tortilla chips - http://purl.bioontology.org/ontology/SNOMEDCT/227592002;http://purl.bioontology.org/ontology/SNOMEDCT/226587006;http://purl.bioontology.org/ontology/SNOMEDCT/227282006, quinoa - http://purl.bioontology.org/ontology/SNOMEDCT/227515004, oat - http://purl.bioontology.org/ontology/SNOMEDCT/418504009, pork - http://purl.bioontology.org/ontology/SNOMEDCT/226934003, curry powder - http://purl.bioontology.org/ontology/SNOMEDCT/227395004, beef - http://purl.bioontology.org/ontology/SNOMEDCT/226916002, icing - http://purl.bioontology.org/ontology/SNOMEDCT/229871004, tofu - http://purl.bioontology.org/ontology/SNOMEDCT/227365007, artichoke - http://purl.bioontology.org/ontology/SNOMEDCT/227215000.", , , ,1.000,1.000,1.000
0_0, , , ,tortilla chips,"http://purl.bioontology.org/ontology/SNOMEDCT/226587006
http://purl.bioontology.org/ontology/SNOMEDCT/227282006
http://purl.bioontology.org/ontology/SNOMEDCT/227592002","http://purl.bioontology.org/ontology/SNOMEDCT/226587006
http://purl.bioontology.org/ontology/SNOMEDCT/227282006
http://purl.bioontology.org/ontology/SNOMEDCT/227592002", , , 
0_1, , , ,quinoa,http://purl.bioontology.org/ontology/SNOMEDCT/227515004,http://purl.bioontology.org/ontology/SNOMEDCT/227515004, , , 
0_2, , , ,oat,http://purl.bioontology.org/ontology/SNOMEDCT/418504009,http://purl.bioontology.org/ontology/SNOMEDCT/418504009, , , 
0_3, , , ,pork,http://purl.bioontology.org/ontology/SNOMEDCT/226934003,http://purl.bioontology.org/ontology/SNOMEDCT/226934003, , , 
0_4, , , ,curry powder,http://purl.bioontology.org/ontology/SNOMEDCT/227395004,http://purl.bioontology.org/ontology/SNOMEDCT/227395004, , , 
0_5, , , ,beef,http://purl.bioontology.org/ontology/SNOMEDCT/226916002,http://purl.bioontology.org/ontology/SNOMEDCT/226916002, , , 
0_6, , , ,icing,http://purl.bioontology.org/ontology/SNOMEDCT/229871004,http://purl.bioontology.org/ontology/SNOMEDCT/229871004, , , 
0_7, , , ,tofu,http://purl.bioontology.org/ontology/SNOMEDCT/227365007,http://purl.bioontology.org/ontology/SNOMEDCT/227365007, , , 
0_8, , , ,artichoke,http://purl.bioontology.org/ontology/SNOMEDCT/227215000,http://purl.bioontology.org/ontology/SNOMEDCT/227215000, , , 
