instance_id,original_prompt,true_answer,actual_predicted_answer,concept,true_entities,predicted_entities,macro_weighted_precision,macro_weighted_recall,macro_weighted_f1
 , , , , , , ,0.947,0.933,0.938
0,"Please, may we have links to the Hansard taxonomy for these entities provided: soft butter, mango, daiquiri mixer, maple extract, salt, anise flavored liqueur, hemp seeds, yeast mixture, thighs ?","Of course, the entities are tied together as:  soft butter -  AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food], mango -  AE.10.g [Order Perciformes (perches)];AF.20 [Particular food plant/product];AF.20.b [Particular fruit-tree/-plant], daiquiri mixer -  AG.01.m [Substances for food preparation];AG.01.y.01.g [Cocktail], maple extract -  AF.13 [Particular tree/shrub], salt -  AG.01.l.01 [Salt];AG.01.w [Setting table], anise flavored liqueur -  AG.01.y.01 [Intoxicating liquor];AG.01.aj.01 [Drinking vessel];AG.01.n.17.a [Sweets], hemp seeds -  AF.10.i [Seed];AF.24 [Yielding fibre/thatching/basket material], yeast mixture -  AG.01.ae.03 [Brewing];AG.01.af [Tea manufacture];AG.01.m [Substances for food preparation], thighs -  AE.07.b [Body and limbs];AF.10.l [Wood, other part of tree/woody plant].","Absolutely, the entities are related in this way: soft butter - AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food];AG.01.t.05 [Preparation for table/cooking], mango - AE.10.g [Order Perciformes (perches)];AF.20 [Particular food plant/product];AF.20.b [Particular fruit-tree/-plant], daiquiri mixer - AG.01.m [Substances for food preparation];AG.01.y.01.g [Cocktail], maple extract - AF.13 [Particular tree/shrub], salt - AG.01.l.01 [Salt];AG.01.w [Setting table], anise flavored liqueur - AG.01.y.01 [Intoxicating liquor];AG.01.aj.01 [Drinking vessel];AG.01.n.17.a [Sweets], hemp seeds - AF.10.i [Seed];AF.24 [Yielding fibre/thatching/basket material], yeast mixture - AG.01.ae.03 [Brewing];AG.01.m [Substances for food preparation], thighs - AE.07.b [Body and limbs];AF.10.l [Wood, other part of tree/woody plant].", , , ,0.950,0.950,0.950
0_0, , , ,soft butter,"AG.01.e.01
AG.01.n","AG.01.e.01
AG.01.n
AG.01.t.05", , , 
0_1, , , ,mango,"AE.10.g
AF.20
AF.20.b","AE.10.g
AF.20
AF.20.b", , , 
0_2, , , ,daiquiri mixer,"AG.01.m
AG.01.y.01.g","AG.01.m
AG.01.y.01.g", , , 
0_3, , , ,maple extract,AF.13,AF.13, , , 
0_4, , , ,salt,"AG.01.l.01
AG.01.w","AG.01.l.01
AG.01.w", , , 
0_5, , , ,anise flavored liqueur,"AG.01.aj.01
AG.01.n.17.a
AG.01.y.01","AG.01.aj.01
AG.01.n.17.a
AG.01.y.01", , , 
0_6, , , ,hemp seeds,"AF.10.i
AF.24","AF.10.i
AF.24", , , 
0_7, , , ,yeast mixture,"AG.01.ae.03
AG.01.af
AG.01.m","AG.01.ae.03
AG.01.m", , , 
0_8, , , ,thighs,"AE.07.b
AF.10.l","AE.07.b
AF.10.l", , , 
1,"Could you please offer links to the Hansard taxonomy for these entities: coffee cup cake mixes, brandy, sparkling cider, granola, vegan mayonnaise, mango, vegetarian ground beef substitute, eggs, dry pudding mix ?","Indeed, the entities are linked in the following manner:  coffee cup cake mixes -  AG.01.ad [Coffee];AG.01.ag [Coffee manufacture];AG.01.ak.02.a [Excess in drinking];AG.01.n.13 [Cake];AG.01.y.01.a [Wine], brandy -  AG.01.y.01.e [Brandy], sparkling cider -  AG.01.y.01 [Intoxicating liquor];AG.01.y.01.c [Cider], granola -  AG.01.n.10 [Grain dishes], vegan mayonnaise -  AG.01.l.04 [Sauce/dressing];AG.01.n.01 [Food by way of preparation];AG.01.x.01 [Eating], mango -  AE.10.g [Order Perciformes (perches)];AF.20 [Particular food plant/product];AF.20.b [Particular fruit-tree/-plant], vegetarian ground beef substitute -  AG.01 [Food];AG.01.c [Diet];AG.01.d.03 [Beef];AG.01.x.01 [Eating], eggs -  AG.01.g [Eggs], dry pudding mix -  AG.01.m [Substances for food preparation];AG.01.n.03 [Puddings].","Absolutely, the entities are related in this way: coffee cup cake mixes - AG.01.ad [Coffee];AG.01.ag [Coffee manufacture];AG.01.ak.02.a [Excess in drinking];AG.01.n.13 [Cake];AG.01.y.01.a [Wine], brandy - AG.01.y.01.e [Brandy], sparkling cider - AG.01.y.01 [Intoxicating liquor];AG.01.y.01.c [Cider], granola - AG.01.n.10 [Grain dishes], vegan mayonnaise - AG.01.l.04 [Sauce/dressing];AG.01.n.01 [Food by way of preparation];AG.01.x.01 [Eating], mango - AE.10.g [Order Perciformes (perches)];AF.20 [Particular food plant/product];AF.20.b [Particular fruit-tree/-plant], vegetarian ground beef substitute - AG.01 [Food];AG.01.c [Diet];AG.01.d.03 [Beef];AG.01.x.01 [Eating], eggs - AG.01.g [Eggs], dry pudding mix - AG.01 [Food];AG.01.n.03 [Puddings].", , , ,0.932,0.955,0.939
