instance_id,original_prompt,true_answer,actual_predicted_answer,concept,true_entities,predicted_entities,macro_weighted_precision,macro_weighted_recall,macro_weighted_f1
 , , , , , , ,0.917,0.786,0.842
0,"Definitely, the entities concerning food are detailed below:  artichoke hearts, mozzarella cheese, parmesan cheese, mayonnaise, almonds, tortilla chips, crackers","Absolutely, the entities are related properly:  artichoke hearts -  AG.01.h.02.b [Stalk vegetables], mozzarella cheese -  AG.01.e.02 [Cheese];AG.01.n.18 [Preserve], parmesan cheese -  AG.01.e.02 [Cheese];AG.01.n.18 [Preserve], mayonnaise -  AG.01.l.04 [Sauce/dressing];AG.01.n.01 [Food by way of preparation], almonds -  AG.01.h.01.f [Nut], tortilla chips -  AG.01.n.11 [Bread];AG.01.n.12 [Pancake/tortilla/oatcake], crackers -  AG.01 [Food].","Definitely, the entities are linked as such: artichoke hearts - AG.01.h.02.b [Stalk vegetables], mozzarella cheese - AG.01.e.02 [Cheese];AG.01.n.18 [Preserve], parmesan cheese - AG.01.e.02 [Cheese];AG.01.n.18 [Preserve], mayonnaise - AG.01.l.04 [Sauce/dressing];AG.01.n.01 [Food by way of preparation], almonds - AG.01.h.01.f [Nut], tortilla chips - AG.01.n.11 [Bread];AG.01.n.12 [Pancake/tortilla/oatcake], crackers - AG.01 [Food].", , , ,1.000,1.000,1.000
0_0, , , ,artichoke hearts,AG.01.h.02.b,AG.01.h.02.b, , , 
0_1, , , ,mozzarella cheese,"AG.01.e.02
AG.01.n.18","AG.01.e.02
AG.01.n.18", , , 
0_2, , , ,parmesan cheese,"AG.01.e.02
AG.01.n.18","AG.01.e.02
AG.01.n.18", , , 
0_3, , , ,mayonnaise,"AG.01.l.04
AG.01.n.01","AG.01.l.04
AG.01.n.01", , , 
0_4, , , ,almonds,AG.01.h.01.f,AG.01.h.01.f, , , 
0_5, , , ,tortilla chips,"AG.01.n.11
AG.01.n.12","AG.01.n.11
AG.01.n.12", , , 
0_6, , , ,crackers,AG.01,AG.01, , , 
1,"Yes, the entities related to food are outlined below:  dry ranch salad dressing mix, mayonnaise, milk, cream cheese, Cheddar cheese, almonds","Absolutely, the entities are bonded as:  dry ranch salad dressing mix -  AG.01.h.02 [Vegetables];AG.01.m [Substances for food preparation];AG.01.n.09 [Prepared vegetables and dishes], mayonnaise -  AG.01.l.04 [Sauce/dressing];AG.01.n.01 [Food by way of preparation], milk -  AG.01.e [Dairy produce], cream cheese -  AG.01.e [Dairy produce];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve], Cheddar cheese -  AG.01.e.02 [Cheese];AG.01.n.18 [Preserve], almonds -  AG.01.h.01.f [Nut].","Absolutely, the entities are related in this manner: dry ranch salad dressing mix - AG.01.h.02 [Vegetables];AG.01.m [Substances for food preparation];AG.01.n.09 [Prepared vegetables and dishes], mayonnaise - AG.01.l.04 [Sauce/dressing];AG.01.n.01 [Food by way of preparation], milk - AG.01.e [Dairy produce], cream cheese - AG.01.e [Dairy produce];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve], Cheddar cheese - AG.01.e.02 [Cheese];AG.01.n.18 [Preserve], almonds - AG.01.h.01.f [Nut].", , , ,1.000,1.000,1.000
1_0, , , ,dry ranch salad dressing mix,"AG.01.h.02
AG.01.m
AG.01.n.09","AG.01.h.02
AG.01.m
AG.01.n.09", , , 
1_1, , , ,mayonnaise,"AG.01.l.04
AG.01.n.01","AG.01.l.04
AG.01.n.01", , , 
1_2, , , ,milk,AG.01.e,AG.01.e, , , 
1_3, , , ,cream cheese,"AG.01.e
AG.01.e.02
AG.01.n
AG.01.n.18","AG.01.e
AG.01.e.02
AG.01.n
AG.01.n.18", , , 
1_4, , , ,cheddar cheese,"AG.01.e.02
AG.01.n.18","AG.01.e.02
AG.01.n.18", , , 
1_5, , , ,almonds,AG.01.h.01.f,AG.01.h.01.f, , , 
2,"Indeed, the entities concerning food are delineated below:  corn, orange bell pepper, jalapeno pepper, red onion, cilantro, lime juice, crushed red pepper, honey, salt, pepper","Indeed, the entities are connected in this fashion:  corn -  AG.01.i [Corn/cereals/grain], orange bell pepper -  AG.01.l.03 [Spice], jalapeno pepper -  AG.01.l.03 [Spice], red onion -  AG.01.h.02.e [Onion/leek/garlic], cilantro -  AG.01 [Food], lime juice -  AG.01.ab [Fruit juice/squash];AG.01.h.01.a [Citrus fruit];AG.01.l.02 [Sweetener (syrup/honey/chocolate)], crushed red pepper -  AG.01.l.03 [Spice];AG.01.w [Setting table], honey -  AG.01.l.02 [Sweetener (syrup/honey/chocolate)], salt -  AG.01.l.01 [Salt];AG.01.w [Setting table], pepper -  AG.01.l.03 [Spice];AG.01.w [Setting table].","Of course, the entities are bonded in this manner: corn - AG.01.i [Corn/cereals/grain], orange bell pepper - AG.01.l.03 [Spice], jalapeno pepper - AG.01.l.03 [Spice], red onion - AG.01.h.02.e [Onion/leek/garlic], cilantro - AG.01 [Food], lime juice - AG.01.ab [Fruit juice/squash];AG.01.h.01.a [Citrus fruit];AG.01.l.02 [Sweetener (syrup/honey/chocolate)], crushed red pepper - AG.01.l.03 [Spice], honey - AG.01.l.02 [Sweetener (syrup/honey/chocolate)], salt - AG.01.l.01 [Salt];AG.01.w [Setting table], pepper - AG.01.l.03 [Spice];AG.01.w [Setting table].", , , ,1.000,0.933,0.960
2_0, , , ,corn,AG.01.i,AG.01.i, , , 
2_1, , , ,orange bell pepper,AG.01.l.03,AG.01.l.03, , , 
2_2, , , ,jalapeno pepper,AG.01.l.03,AG.01.l.03, , , 
2_3, , , ,red onion,AG.01.h.02.e,AG.01.h.02.e, , , 
2_4, , , ,cilantro,AG.01,AG.01, , , 
2_5, , , ,lime juice,"AG.01.ab
AG.01.h.01.a
AG.01.l.02","AG.01.ab
AG.01.h.01.a
AG.01.l.02", , , 
2_6, , , ,crushed red pepper,"AG.01.l.03
AG.01.w",AG.01.l.03, , , 
2_7, , , ,honey,AG.01.l.02,AG.01.l.02, , , 
2_8, , , ,salt,"AG.01.l.01
AG.01.w","AG.01.l.01
AG.01.w", , , 
2_9, , , ,pepper,"AG.01.l.03
AG.01.w","AG.01.l.03
AG.01.w", , , 
3,"Indeed, the entities that relate to food are delineated below:  pork sausage, onion, sausage, sausage mixture, drained sauerkraut, mustard, garlic salt, pepper, bread crumbs, cream cheese, parsley, sauerkraut mixture, oil, flour, egg, milk, floured balls, egg mixture","Definitely, the entities are linked as such:  pork sausage -  AG.01.d.05 [Pork];AG.01.n.05 [Sausage], onion -  AG.01.h.02.e [Onion/leek/garlic], sausage -  AG.01.n.05 [Sausage], sausage mixture -  AG.01.af [Tea manufacture];AG.01.n.05 [Sausage], drained sauerkraut -  AG.01 [Food], mustard -  AG.01.l.03 [Spice], garlic salt -  AG.01.h.02.e [Onion/leek/garlic];AG.01.l.01 [Salt];AG.01.w [Setting table], pepper -  AG.01.l.03 [Spice];AG.01.w [Setting table], bread crumbs -  AG.01.n.11 [Bread], cream cheese -  AG.01.e [Dairy produce];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve], parsley -  AG.01.h.02.i [Herb], sauerkraut mixture -  AG.01.af [Tea manufacture], oil -  AG.01.f [Fat/oil], flour -  AG.01.j [Meal];AG.01.k [Flour], egg -  AG.01.g [Eggs], milk -  AG.01.e [Dairy produce], floured balls -  AG.01 [Food], egg mixture -  AG.01.af [Tea manufacture];AG.01.g [Eggs].","Indeed, the entities are connected accordingly: pork sausage - AG.01.d.05 [Pork];AG.01.n.05 [Sausage], onion - AG.01.h.02.e [Onion/leek/garlic], sausage - AG.01.n.05 [Sausage], drained sauerkraut - AG.01 [Food], mustard - AG.01.l.03 [Spice], garlic salt - AG.01.h.02.e [Onion/leek/garlic];AG.01.l.01 [Salt];AG.01.w [Setting table], pepper - AG.01.l.03 [Spice];AG.01.w [Setting table], bread crumbs - AG.01.n.11 [Bread], cream cheese - AG.01.e [Dairy produce];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve], parsley - AG.01.h.02.i [Herb], sauerkraut mixture - AG.01 [Food], oil - AG.01.f [Fat/oil], flour - AG.01.j [Meal];AG.01.k [Flour], egg - AG.01.g [Eggs], milk - AG.01.e [Dairy produce], floured balls - AG.01.m [Substances for food preparation], bread crumbs - AG.01.n.11 [Bread], egg mixture - AG.01.g [Eggs], balls - AG.01 [Food].", , , ,0.857,0.821,0.836
3_0, , , ,pork sausage,"AG.01.d.05
AG.01.n.05","AG.01.d.05
AG.01.n.05", , , 
3_1, , , ,onion,AG.01.h.02.e,AG.01.h.02.e, , , 
3_2, , , ,sausage,AG.01.n.05,AG.01.n.05, , , 
3_3, , , ,sausage mixture,"AG.01.af
AG.01.n.05",, , , 
3_4, , , ,drained sauerkraut,AG.01,AG.01, , , 
3_5, , , ,mustard,AG.01.l.03,AG.01.l.03, , , 
3_6, , , ,garlic salt,"AG.01.h.02.e
AG.01.l.01
AG.01.w","AG.01.h.02.e
AG.01.l.01
AG.01.w", , , 
