instance_id,original_prompt,true_answer,actual_predicted_answer,concept,true_entities,predicted_entities,macro_weighted_precision,macro_weighted_recall,macro_weighted_f1
 , , , , , , ,0.955,0.818,0.872
0,"Definitely, the entities concerning food are detailed below:  artichoke hearts, mozzarella cheese, parmesan cheese, mayonnaise, almonds, tortilla chips, crackers","Indeed, the entities are attached as:  artichoke - http://purl.bioontology.org/ontology/SNOMEDCT/227215000, mozzarella cheese - http://purl.bioontology.org/ontology/SNOMEDCT/226837009;http://purl.bioontology.org/ontology/SNOMEDCT/102264005, parmesan cheese - http://purl.bioontology.org/ontology/SNOMEDCT/226838004;http://purl.bioontology.org/ontology/SNOMEDCT/102264005, mayonnaise - http://purl.bioontology.org/ontology/SNOMEDCT/227549007, almonds - http://purl.bioontology.org/ontology/SNOMEDCT/256350002, tortilla chips - http://purl.bioontology.org/ontology/SNOMEDCT/227592002;http://purl.bioontology.org/ontology/SNOMEDCT/226587006;http://purl.bioontology.org/ontology/SNOMEDCT/227282006.","Certainly, the entities are associated in the following way: artichoke - http://purl.bioontology.org/ontology/SNOMEDCT/227215000, mozzarella cheese - http://purl.bioontology.org/ontology/SNOMEDCT/226837009;http://purl.bioontology.org/ontology/SNOMEDCT/102264005, parmesan cheese - http://purl.bioontology.org/ontology/SNOMEDCT/226838004;http://purl.bioontology.org/ontology/SNOMEDCT/102264005, mayonnaise - http://purl.bioontology.org/ontology/SNOMEDCT/227549007, almonds - http://purl.bioontology.org/ontology/SNOMEDCT/256350002, tortilla chips - http://purl.bioontology.org/ontology/SNOMEDCT/227592002;http://purl.bioontology.org/ontology/SNOMEDCT/226587006;http://purl.bioontology.org/ontology/SNOMEDCT/227282006, crackers - http://purl.bioontology.org/ontology/SNOMEDCT/226543002.", , , ,1.000,1.000,1.000
0_0, , , ,artichoke,http://purl.bioontology.org/ontology/SNOMEDCT/227215000,http://purl.bioontology.org/ontology/SNOMEDCT/227215000, , , 
0_1, , , ,mozzarella cheese,"http://purl.bioontology.org/ontology/SNOMEDCT/102264005
http://purl.bioontology.org/ontology/SNOMEDCT/226837009","http://purl.bioontology.org/ontology/SNOMEDCT/102264005
http://purl.bioontology.org/ontology/SNOMEDCT/226837009", , , 
0_2, , , ,parmesan cheese,"http://purl.bioontology.org/ontology/SNOMEDCT/102264005
http://purl.bioontology.org/ontology/SNOMEDCT/226838004","http://purl.bioontology.org/ontology/SNOMEDCT/102264005
http://purl.bioontology.org/ontology/SNOMEDCT/226838004", , , 
0_3, , , ,mayonnaise,http://purl.bioontology.org/ontology/SNOMEDCT/227549007,http://purl.bioontology.org/ontology/SNOMEDCT/227549007, , , 
0_4, , , ,almonds,http://purl.bioontology.org/ontology/SNOMEDCT/256350002,http://purl.bioontology.org/ontology/SNOMEDCT/256350002, , , 
0_5, , , ,tortilla chips,"http://purl.bioontology.org/ontology/SNOMEDCT/226587006
http://purl.bioontology.org/ontology/SNOMEDCT/227282006
http://purl.bioontology.org/ontology/SNOMEDCT/227592002","http://purl.bioontology.org/ontology/SNOMEDCT/226587006
http://purl.bioontology.org/ontology/SNOMEDCT/227282006
http://purl.bioontology.org/ontology/SNOMEDCT/227592002", , , 
1,"Yes, the entities related to food are outlined below:  dry ranch salad dressing mix, mayonnaise, milk, cream cheese, Cheddar cheese, almonds","Certainly, the entities are interconnected as:  salad dressing - http://purl.bioontology.org/ontology/SNOMEDCT/227545001;http://purl.bioontology.org/ontology/SNOMEDCT/227927005, mayonnaise - http://purl.bioontology.org/ontology/SNOMEDCT/227549007, milk - http://purl.bioontology.org/ontology/SNOMEDCT/70813002, cream cheese - http://purl.bioontology.org/ontology/SNOMEDCT/226849005;http://purl.bioontology.org/ontology/SNOMEDCT/255621006;http://purl.bioontology.org/ontology/SNOMEDCT/102264005, cheddar cheese - http://purl.bioontology.org/ontology/SNOMEDCT/226820002;http://purl.bioontology.org/ontology/SNOMEDCT/102264005, almonds - http://purl.bioontology.org/ontology/SNOMEDCT/256350002.","Certainly, the entities are associated as such: salad dressing - http://purl.bioontology.org/ontology/SNOMEDCT/227545001;http://purl.bioontology.org/ontology/SNOMEDCT/227927005, mayonnaise - http://purl.bioontology.org/ontology/SNOMEDCT/227549007, milk - http://purl.bioontology.org/ontology/SNOMEDCT/70813002, cream cheese - http://purl.bioontology.org/ontology/SNOMEDCT/226849005;http://purl.bioontology.org/ontology/SNOMEDCT/255621006;http://purl.bioontology.org/ontology/SNOMEDCT/102264005, cheddar cheese - http://purl.bioontology.org/ontology/SNOMEDCT/226820002;http://purl.bioontology.org/ontology/SNOMEDCT/102264005.", , , ,0.900,0.900,0.900
1_0, , , ,salad dressing,"http://purl.bioontology.org/ontology/SNOMEDCT/227545001
http://purl.bioontology.org/ontology/SNOMEDCT/227927005","http://purl.bioontology.org/ontology/SNOMEDCT/227545001
http://purl.bioontology.org/ontology/SNOMEDCT/227927005", , , 
1_1, , , ,mayonnaise,http://purl.bioontology.org/ontology/SNOMEDCT/227549007,http://purl.bioontology.org/ontology/SNOMEDCT/227549007, , , 
1_2, , , ,milk,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,http://purl.bioontology.org/ontology/SNOMEDCT/70813002, , , 
1_3, , , ,cream cheese,"http://purl.bioontology.org/ontology/SNOMEDCT/102264005
http://purl.bioontology.org/ontology/SNOMEDCT/226849005
http://purl.bioontology.org/ontology/SNOMEDCT/255621006","http://purl.bioontology.org/ontology/SNOMEDCT/102264005
http://purl.bioontology.org/ontology/SNOMEDCT/226849005
http://purl.bioontology.org/ontology/SNOMEDCT/255621006", , , 
1_4, , , ,cheddar cheese,"http://purl.bioontology.org/ontology/SNOMEDCT/102264005
http://purl.bioontology.org/ontology/SNOMEDCT/226820002","http://purl.bioontology.org/ontology/SNOMEDCT/102264005
http://purl.bioontology.org/ontology/SNOMEDCT/226820002", , , 
1_5, , , ,almonds,http://purl.bioontology.org/ontology/SNOMEDCT/256350002,, , , 
2,"Indeed, the entities concerning food are delineated below:  corn, orange bell pepper, jalapeno pepper, red onion, cilantro, lime juice, crushed red pepper, honey, salt, pepper","Certainly, the entities are intertwined as:  corn - http://purl.bioontology.org/ontology/SNOMEDCT/412357001, orange bell pepper - http://purl.bioontology.org/ontology/SNOMEDCT/461791000124103;http://purl.bioontology.org/ontology/SNOMEDCT/1137359008;http://purl.bioontology.org/ontology/SNOMEDCT/227563001, jalapeno pepper - http://purl.bioontology.org/ontology/SNOMEDCT/442681000124105;http://purl.bioontology.org/ontology/SNOMEDCT/227563001, red onion - http://purl.bioontology.org/ontology/SNOMEDCT/442361000124108;http://purl.bioontology.org/ontology/SNOMEDCT/735047000, cilantro - http://purl.bioontology.org/ontology/SNOMEDCT/227390009, juice - http://purl.bioontology.org/ontology/SNOMEDCT/129559002, pepper - http://purl.bioontology.org/ontology/SNOMEDCT/227563001, honey - http://purl.bioontology.org/ontology/SNOMEDCT/227598003.","Indeed, the entities are connected as such: corn - http://purl.bioontology.org/ontology/SNOMEDCT/412357001, bell pepper - http://purl.bioontology.org/ontology/SNOMEDCT/1137359008;http://purl.bioontology.org/ontology/SNOMEDCT/227563001, jalapeno pepper - http://purl.bioontology.org/ontology/SNOMEDCT/442681000124105;http://purl.bioontology.org/ontology/SNOMEDCT/227563001, onion - http://purl.bioontology.org/ontology/SNOMEDCT/735047000, cilantro - http://purl.bioontology.org/ontology/SNOMEDCT/227390009, juice - http://purl.bioontology.org/ontology/SNOMEDCT/129559002, honey - http://purl.bioontology.org/ontology/SNOMEDCT/227598003, pepper - http://purl.bioontology.org/ontology/SNOMEDCT/227563001.", , , ,0.667,0.583,0.617
2_0, , , ,corn,http://purl.bioontology.org/ontology/SNOMEDCT/412357001,http://purl.bioontology.org/ontology/SNOMEDCT/412357001, , , 
