instance_id,original_prompt,true_answer,actual_predicted_answer,concept,true_entities,predicted_entities,macro_weighted_precision,macro_weighted_recall,macro_weighted_f1
 , , , , , , ,0.858,0.621,0.707
0,"Sure thing, the entities regarding food are listed as follows:  milk","Definitely, the entities are interrelated as:  milk - http://purl.bioontology.org/ontology/SNOMEDCT/70813002.","Definitely, the entities are linked correspondingly: milk - http://purl.bioontology.org/ontology/SNOMEDCT/70813002.", , , ,1.000,1.000,1.000
0_0, , , ,milk,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,http://purl.bioontology.org/ontology/SNOMEDCT/70813002, , , 
1,"Indeed, the entities that relate to food are:  milk, milk product","Indeed, the entities are connected in this manner:  milk - http://purl.bioontology.org/ontology/SNOMEDCT/70813002.","Definitely, the entities are linked suitably: milk - http://purl.bioontology.org/ontology/SNOMEDCT/70813002.", , , ,1.000,1.000,1.000
1_0, , , ,milk,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,http://purl.bioontology.org/ontology/SNOMEDCT/70813002, , , 
2,"Yes, the entities related to food are as follows:  fruits, industrial foods, pretzels, biscuits, wafers, chocolate, ice cream, savoury and sweet pastries, soft drinks, alcoholic beverages, snacks, home-made pastries","Absolutely, the linking of the entities is:  pretzels - http://purl.bioontology.org/ontology/SNOMEDCT/229908005, chocolate - http://purl.bioontology.org/ontology/SNOMEDCT/102262009, ice cream - http://purl.bioontology.org/ontology/SNOMEDCT/227708009;http://purl.bioontology.org/ontology/SNOMEDCT/255621006.","Absolutely, the entities are related in this manner: fruits - http://purl.bioontology.org/ontology/SNOMEDCT/72511004, ice cream - http://purl.bioontology.org/ontology/SNOMEDCT/227708009;http://purl.bioontology.org/ontology/SNOMEDCT/255621006, chocolate - http://purl.bioontology.org/ontology/SNOMEDCT/102262009;http://purl.bioontology.org/ontology/SNOMEDCT/227282006, ice - http://purl.bioontology.org/ontology/SNOMEDCT/226474002.", , , ,0.750,0.750,0.750
2_0, , , ,pretzels,http://purl.bioontology.org/ontology/SNOMEDCT/229908005,, , , 
2_1, , , ,chocolate,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,"http://purl.bioontology.org/ontology/SNOMEDCT/102262009
http://purl.bioontology.org/ontology/SNOMEDCT/227282006", , , 
2_2, , , ,ice cream,"http://purl.bioontology.org/ontology/SNOMEDCT/227708009
http://purl.bioontology.org/ontology/SNOMEDCT/255621006","http://purl.bioontology.org/ontology/SNOMEDCT/227708009
http://purl.bioontology.org/ontology/SNOMEDCT/255621006", , , 
3,"Indeed, the entities that relate to food are:  canola oil, corn oil, fat","Absolutely, the entities are related as such:  canola oil - http://purl.bioontology.org/ontology/SNOMEDCT/713648000;http://purl.bioontology.org/ontology/SNOMEDCT/226908006, corn oil - http://purl.bioontology.org/ontology/SNOMEDCT/735247006;http://purl.bioontology.org/ontology/SNOMEDCT/412357001.","Certainly, the entities are associated suitably: corn oil - http://purl.bioontology.org/ontology/SNOMEDCT/735247006;http://purl.bioontology.org/ontology/SNOMEDCT/412357001, canola oil - http://purl.bioontology.org/ontology/SNOMEDCT/713648000;http://purl.bioontology.org/ontology/SNOMEDCT/226908006.", , , ,1.000,1.000,1.000
3_0, , , ,canola oil,"http://purl.bioontology.org/ontology/SNOMEDCT/226908006
http://purl.bioontology.org/ontology/SNOMEDCT/713648000","http://purl.bioontology.org/ontology/SNOMEDCT/226908006
http://purl.bioontology.org/ontology/SNOMEDCT/713648000", , , 
3_1, , , ,corn oil,"http://purl.bioontology.org/ontology/SNOMEDCT/412357001
http://purl.bioontology.org/ontology/SNOMEDCT/735247006","http://purl.bioontology.org/ontology/SNOMEDCT/412357001
http://purl.bioontology.org/ontology/SNOMEDCT/735247006", , , 
4,"Sure thing, the entities linked to food are outlined below:  100% fruit juice, nutrient-dense beverage, water, low-fat/fat-free milk, 100% fruit juices, fruit, intake, beverages, sugar-sweetened beverages","Absolutely, the entities are related properly:  fruit juice - http://purl.bioontology.org/ontology/SNOMEDCT/129560007;http://purl.bioontology.org/ontology/SNOMEDCT/72511004;http://purl.bioontology.org/ontology/SNOMEDCT/129559002, milk - http://purl.bioontology.org/ontology/SNOMEDCT/70813002, fruit - http://purl.bioontology.org/ontology/SNOMEDCT/72511004.","Indeed, the entities are connected in this fashion: fruit - http://purl.bioontology.org/ontology/SNOMEDCT/72511004, juice - http://purl.bioontology.org/ontology/SNOMEDCT/129559002.", , , ,0.400,0.200,0.267
4_0, , , ,fruit juice,"http://purl.bioontology.org/ontology/SNOMEDCT/129559002
http://purl.bioontology.org/ontology/SNOMEDCT/129560007
http://purl.bioontology.org/ontology/SNOMEDCT/72511004",, , , 
4_1, , , ,milk,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,, , , 
